,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat
63,3,8,1540,0,2014-01-01,1970-01-01,98115,47.6765
64,3,7,1110,550,1979-01-01,1970-01-01,98122,47.6113
65,5,7,1770,1000,1925-01-01,1970-01-01,98144,47.5747
66,3,10,2720,0,1989-01-01,1970-01-01,98004,47.5815
67,3,7,2240,0,2005-01-01,1970-01-01,98001,47.3378
68,4,7,1000,0,1968-01-01,1970-01-01,98042,47.3621
69,3,8,1600,1600,1965-01-01,1970-01-01,98004,47.6303
70,4,11,3070,1700,1973-01-01,1970-01-01,98005,47.6525
71,4,7,1260,0,1972-01-01,1970-01-01,98034,47.7362
72,5,7,2250,500,1916-01-01,1970-01-01,98125,47.7168
73,3,8,2380,0,2005-01-01,1970-01-01,98038,47.3608
74,5,7,1090,700,1965-01-01,1970-01-01,98042,47.3511
75,4,10,2390,1040,1986-01-01,1970-01-01,98075,47.5822
76,3,7,880,880,1956-01-01,1970-01-01,98008,47.6034
77,3,7,1040,0,1941-01-01,1970-01-01,98116,47.5636
78,4,7,910,500,1956-01-01,1970-01-01,98133,47.7073
79,3,10,3450,0,2002-01-01,1970-01-01,98010,47.342
80,3,8,2350,0,2003-01-01,1970-01-01,98038,47.3512
81,3,7,1900,0,1992-01-01,1970-01-01,98038,47.349
82,3,7,1010,1010,1948-01-01,1970-01-01,98118,47.5474
83,3,8,1680,0,1964-01-01,1970-01-01,98059,47.4811
84,3,6,960,0,1952-01-01,1970-01-01,98125,47.7264
85,3,9,1900,240,1925-01-01,1970-01-01,98119,47.6337
86,5,7,2660,0,1961-01-01,1970-01-01,98092,47.2909
87,3,9,1980,790,2006-01-01,1970-01-01,98056,47.5228
88,4,7,1610,0,1979-01-01,1970-01-01,98056,47.518
89,3,7,765,265,2006-01-01,1970-01-01,98136,47.5394
90,3,7,1980,0,1988-01-01,1970-01-01,98023,47.2897
91,4,10,3520,0,2001-01-01,1970-01-01,98199,47.6506
92,3,7,1200,0,1962-01-01,1970-01-01,98023,47.322
93,3,8,1290,290,1939-01-01,1970-01-01,98117,47.687
94,3,8,1290,290,1939-01-01,1970-01-01,98117,47.687
95,3,7,2390,910,1946-01-01,1991-01-01,98040,47.5873
96,3,7,1960,0,1967-01-01,1970-01-01,98032,47.3576
97,4,7,1160,0,1975-01-01,1970-01-01,98023,47.3036
98,5,7,1210,600,1980-01-01,1970-01-01,98038,47.4109
99,3,9,2320,0,1992-01-01,1970-01-01,98045,47.4838
100,5,9,1270,800,1910-01-01,1970-01-01,98102,47.6415
101,4,7,1440,540,1929-01-01,1970-01-01,98117,47.6775
102,4,8,2190,0,1983-01-01,1970-01-01,98077,47.7731
103,3,8,2920,0,1950-01-01,2010-01-01,98004,47.5814
104,3,7,1210,0,1954-01-01,1970-01-01,98058,47.4375
105,4,8,1460,880,1978-01-01,1970-01-01,98058,47.4431
106,4,7,1170,500,1939-01-01,1970-01-01,98117,47.6878
107,4,8,1240,0,1985-01-01,1970-01-01,98198,47.3813
108,4,10,3140,0,1991-01-01,1970-01-01,98077,47.7304
109,4,7,2030,0,1942-01-01,1970-01-01,98052,47.6417
110,3,8,2310,0,1984-01-01,1970-01-01,98027,47.5386
111,5,6,700,560,1905-01-01,1970-01-01,98103,47.6823
112,4,7,1160,380,1980-01-01,1970-01-01,98038,47.3624
113,3,7,1080,1000,1971-01-01,1970-01-01,98108,47.5474
114,3,9,2520,710,2001-01-01,1970-01-01,98001,47.3183
115,3,8,2780,1600,1900-01-01,1999-01-01,98117,47.6981
116,3,8,1590,0,2010-01-01,1970-01-01,98103,47.6824
117,4,6,880,0,1945-01-01,1970-01-01,98178,47.5009
118,3,6,1570,0,1950-01-01,1970-01-01,98168,47.4965
119,4,7,1610,0,1925-01-01,1970-01-01,98144,47.587
120,3,8,1560,840,1964-01-01,1970-01-01,98177,47.7728
121,3,7,1450,0,1987-01-01,1970-01-01,98034,47.7288
122,3,6,770,0,1953-01-01,1970-01-01,98117,47.6999
123,5,7,1720,380,1924-01-01,1970-01-01,98118,47.5299
124,3,9,2910,0,1990-01-01,1970-01-01,98052,47.6897
125,3,8,1980,770,1914-01-01,1992-01-01,98004,47.6141
126,3,8,1620,480,1967-01-01,1970-01-01,98178,47.5091
127,3,8,1360,800,1978-01-01,1970-01-01,98023,47.3129
128,5,7,1720,600,1926-01-01,1970-01-01,98103,47.6763
129,3,7,2070,0,2004-01-01,1970-01-01,98065,47.5319
130,4,7,1060,0,1986-01-01,1970-01-01,98092,47.2761
131,3,8,1440,570,1986-01-01,1970-01-01,98027,47.5343
132,3,9,2460,1490,1989-01-01,1970-01-01,98052,47.697
133,3,8,1390,620,2014-01-01,1970-01-01,98029,47.5517
134,3,9,2140,0,2005-01-01,1970-01-01,98107,47.6734
135,4,7,1320,0,1956-01-01,1970-01-01,98003,47.3257
136,3,7,1010,1010,1968-01-01,1970-01-01,98003,47.3309
137,4,8,1340,1250,1968-01-01,1970-01-01,98028,47.7689
138,3,6,1190,0,1981-01-01,1970-01-01,98125,47.7135
139,3,8,1170,0,2014-01-01,1970-01-01,98107,47.6722
140,3,7,1110,0,1925-01-01,1970-01-01,98119,47.6338
141,4,8,1550,1270,1968-01-01,1970-01-01,98006,47.5707
142,4,7,1010,600,1962-01-01,1970-01-01,98058,47.4563
143,4,7,940,120,1923-01-01,1970-01-01,98133,47.7144
144,4,8,1380,650,1961-01-01,1970-01-01,98006,47.5495
145,4,9,3670,0,1994-01-01,1970-01-01,98077,47.7421
146,3,8,2370,180,1905-01-01,1970-01-01,98109,47.6354
147,3,7,2420,0,2007-01-01,1970-01-01,98027,47.5262
148,4,8,1130,1130,1960-01-01,1970-01-01,98032,47.3887
149,3,7,980,450,1947-01-01,1970-01-01,98103,47.6873
150,3,8,1360,0,1990-01-01,1970-01-01,98103,47.6838
151,3,7,1110,0,1947-01-01,1970-01-01,98107,47.655
152,4,7,1250,0,1954-01-01,1970-01-01,98003,47.3255
153,3,12,3540,1640,2006-01-01,1970-01-01,98006,47.562
154,3,7,700,0,1942-01-01,1970-01-01,98115,47.679
155,4,7,1180,0,1967-01-01,1970-01-01,98058,47.4479
156,3,9,2500,1460,1996-01-01,1970-01-01,98056,47.525
157,3,8,1620,1020,1967-01-01,1970-01-01,98023,47.3135
158,3,7,1270,0,1916-01-01,2013-01-01,98022,47.2086
159,4,8,1760,0,1968-01-01,1970-01-01,98059,47.4715
160,3,7,1030,1030,1962-01-01,1970-01-01,98146,47.4877
161,3,7,1780,0,1962-01-01,1970-01-01,98034,47.7171
162,3,10,3400,0,2000-01-01,1970-01-01,98075,47.6012
163,3,7,1160,750,1979-01-01,1970-01-01,98034,47.7319
164,4,7,1010,1010,1975-01-01,1970-01-01,98027,47.4582
165,3,7,1180,400,1976-01-01,1970-01-01,98034,47.7209
166,5,5,700,640,1949-01-01,1970-01-01,98198,47.408
167,3,9,2680,0,1999-01-01,1970-01-01,98006,47.565
168,4,8,1610,1070,1979-01-01,1970-01-01,98034,47.7028
169,5,7,1370,0,1964-01-01,1970-01-01,98133,47.7458
170,3,7,1560,0,1954-01-01,1970-01-01,98166,47.4776
171,4,7,1670,490,1978-01-01,1970-01-01,98023,47.3026
172,3,7,1340,0,1955-01-01,1970-01-01,98133,47.7658
173,3,10,2570,1310,1984-01-01,1970-01-01,98033,47.6477
174,4,8,2590,0,1980-01-01,1970-01-01,98006,47.5619
175,3,8,820,300,2008-01-01,1970-01-01,98122,47.6106
176,3,7,1320,650,1986-01-01,1970-01-01,98144,47.5868
177,3,6,1220,0,1901-01-01,1970-01-01,98122,47.6101
178,4,7,1320,630,1975-01-01,1970-01-01,98022,47.1976
179,3,7,1060,290,1949-01-01,1970-01-01,98177,47.7224
180,3,7,1670,0,1988-01-01,1970-01-01,98030,47.3505
181,4,7,1680,700,1925-01-01,1970-01-01,98126,47.5384
182,5,7,2440,0,1961-01-01,1970-01-01,98034,47.7044
183,3,7,1050,0,1996-01-01,1970-01-01,98038,47.3848
184,3,9,2140,990,1993-01-01,1970-01-01,98052,47.6993
185,4,10,2090,2000,1986-01-01,1970-01-01,98033,47.6627
186,4,8,1100,390,1969-01-01,1970-01-01,98023,47.3099
187,3,8,1900,0,1987-01-01,1970-01-01,98074,47.62
188,4,6,1330,0,1901-01-01,1970-01-01,98103,47.65
189,3,8,1430,800,1975-01-01,1970-01-01,98052,47.6647
190,3,7,1220,430,1977-01-01,1970-01-01,98034,47.726
191,3,6,1190,0,1959-01-01,1970-01-01,98058,47.4616
192,4,8,2140,0,1959-01-01,1970-01-01,98040,47.5505
193,4,7,1420,760,1962-01-01,1970-01-01,98133,47.7606
194,3,7,1060,0,1948-01-01,1970-01-01,98155,47.7481
195,3,8,1690,0,2003-01-01,1970-01-01,98023,47.2779
196,5,7,1130,840,1920-01-01,1970-01-01,98108,47.5511
197,3,8,2150,0,2007-01-01,1970-01-01,98126,47.5488
198,3,7,1910,0,1997-01-01,1970-01-01,98024,47.5385
199,4,7,1350,0,1969-01-01,1970-01-01,98038,47.4058
200,4,6,860,0,1943-01-01,1970-01-01,98056,47.5093
201,3,8,1940,0,1994-01-01,1970-01-01,98042,47.3777
202,3,7,1010,0,1952-01-01,1970-01-01,98107,47.675
203,4,7,900,400,1976-01-01,1970-01-01,98023,47.3025
204,4,6,910,0,1962-01-01,1970-01-01,98059,47.4787
205,4,9,1630,850,1966-01-01,1970-01-01,98040,47.5378
206,3,8,2440,0,2010-01-01,1970-01-01,98052,47.7073
207,3,7,1010,0,1915-01-01,1970-01-01,98116,47.5733
208,3,6,900,0,1941-01-01,1970-01-01,98166,47.4604
209,3,7,1600,700,1920-01-01,1994-01-01,98133,47.7067
210,3,8,1550,0,1993-01-01,1970-01-01,98038,47.354
211,3,8,1060,210,2014-01-01,1970-01-01,98105,47.6647
212,3,9,2240,0,1983-01-01,1970-01-01,98074,47.6143
213,3,9,2714,0,2005-01-01,1970-01-01,98001,47.3185
214,3,8,1720,0,1978-01-01,1970-01-01,98118,47.5458
215,3,6,850,0,1923-01-01,1970-01-01,98168,47.4889
216,3,9,1870,1430,1957-01-01,1991-01-01,98040,47.5673
217,3,8,2250,0,2000-01-01,1970-01-01,98146,47.5133
218,3,8,1950,1950,1947-01-01,1970-01-01,98144,47.5884
219,4,8,1320,0,1947-01-01,1970-01-01,98177,47.7145
220,3,10,2760,0,1999-01-01,1970-01-01,98075,47.5836
221,3,7,1350,400,1961-01-01,1970-01-01,98198,47.398
222,3,8,2330,0,1987-01-01,1970-01-01,98011,47.7663
223,4,8,1780,440,1966-01-01,1970-01-01,98030,47.3758
224,3,7,2020,0,1994-01-01,1970-01-01,98038,47.3828
225,5,7,1250,0,1942-01-01,1970-01-01,98146,47.5123
226,3,8,1510,0,2005-01-01,1970-01-01,98053,47.7076
227,4,7,1120,600,1978-01-01,1970-01-01,98023,47.2922
228,4,7,980,450,1961-01-01,1970-01-01,98031,47.4075
229,3,7,1480,0,2004-01-01,1970-01-01,98053,47.6794
230,3,7,1230,220,1915-01-01,1978-01-01,98166,47.4497
231,5,7,2280,0,1960-01-01,1970-01-01,98059,47.5218
232,3,8,1780,1160,1978-01-01,1970-01-01,98023,47.3103
233,3,6,1000,0,1961-01-01,1970-01-01,98024,47.5687
234,5,7,1620,860,1947-01-01,1970-01-01,98108,47.5575
235,3,10,3760,0,1983-01-01,1970-01-01,98033,47.6489
236,5,7,1640,580,1976-01-01,1970-01-01,98010,47.3459
237,3,7,1670,300,1904-01-01,2005-01-01,98122,47.6136
238,3,10,3530,300,1993-01-01,1970-01-01,98077,47.7641
239,4,9,2350,2060,1965-01-01,1970-01-01,98003,47.3376
240,4,7,1430,0,1968-01-01,1970-01-01,98003,47.3173
241,3,6,830,0,1940-01-01,1970-01-01,98126,47.5308
242,2,7,1430,0,1925-01-01,1970-01-01,98115,47.6727
243,4,6,1300,0,1954-01-01,1970-01-01,98002,47.3221
244,4,7,790,240,1918-01-01,1970-01-01,98103,47.6779
245,3,9,2740,0,1990-01-01,1970-01-01,98023,47.3076
246,3,9,1830,1820,2000-01-01,1970-01-01,98074,47.6338
247,3,6,720,0,1954-01-01,1970-01-01,98106,47.5218
248,4,7,2010,0,1976-01-01,1970-01-01,98002,47.2785
249,4,6,770,790,1918-01-01,1970-01-01,98103,47.6846
250,4,7,1240,570,1978-01-01,1970-01-01,98032,47.3656
251,3,9,3360,0,2001-01-01,1970-01-01,98058,47.4369
252,3,8,1510,0,1991-01-01,1970-01-01,98045,47.4616
253,3,7,800,600,1953-01-01,1970-01-01,98118,47.5405
254,3,7,1730,0,1987-01-01,1970-01-01,98030,47.3507
255,5,7,1420,0,1928-01-01,1970-01-01,98115,47.6979
256,4,7,1180,1180,1955-01-01,1970-01-01,98106,47.5278
257,4,7,1200,380,1974-01-01,1970-01-01,98059,47.4756
258,3,7,1230,0,1979-01-01,1970-01-01,98045,47.4437
259,3,8,2460,0,2006-01-01,1970-01-01,98052,47.7048
260,3,8,1460,200,1911-01-01,1970-01-01,98112,47.6362
261,4,7,1270,0,1960-01-01,1970-01-01,98198,47.4207
262,3,10,1320,780,1979-01-01,1970-01-01,98074,47.6154
263,3,5,770,0,1930-01-01,1970-01-01,98144,47.5964
264,5,5,760,0,1936-01-01,1970-01-01,98070,47.4683
265,4,7,1700,0,1988-01-01,1970-01-01,98031,47.4045
266,3,7,1120,0,1954-01-01,1970-01-01,98106,47.5544
267,3,7,1070,0,1937-01-01,1970-01-01,98115,47.6802
268,3,8,1420,650,1979-01-01,1970-01-01,98023,47.2988
269,3,11,4750,300,1982-01-01,2008-01-01,98004,47.6312
270,4,11,5310,0,1989-01-01,1970-01-01,98077,47.7285
271,4,7,1040,0,1939-01-01,1970-01-01,98133,47.7107
272,4,7,1700,0,1967-01-01,1970-01-01,98003,47.3271
273,3,7,1300,0,1961-01-01,1970-01-01,98178,47.5053
274,3,7,580,500,1954-01-01,2003-01-01,98199,47.6601
275,3,8,2653,0,2006-01-01,1970-01-01,98031,47.4145
276,5,8,2290,0,1960-01-01,1970-01-01,98058,47.4672
277,3,9,2850,970,2014-01-01,1970-01-01,98028,47.7618
278,3,8,2210,0,1997-01-01,1970-01-01,98038,47.3828
279,3,6,1240,1150,1908-01-01,1970-01-01,98118,47.5362
280,4,7,1610,990,1969-01-01,1970-01-01,98031,47.3954
281,3,6,860,0,1931-01-01,1970-01-01,98178,47.5048
282,5,9,2630,1200,1905-01-01,1994-01-01,98122,47.6166
283,3,9,3500,0,2005-01-01,1970-01-01,98053,47.6811
284,4,8,1740,680,1988-01-01,1970-01-01,98028,47.7486
285,3,9,2720,0,1992-01-01,1970-01-01,98030,47.3846
286,3,7,1850,650,1979-01-01,1970-01-01,98072,47.7564
287,3,7,1140,530,1980-01-01,1970-01-01,98034,47.7198
288,3,8,1450,1450,1985-01-01,1970-01-01,98006,47.5461
289,4,7,1140,500,1954-01-01,1970-01-01,98006,47.5712
290,4,7,1890,0,1968-01-01,1970-01-01,98166,47.4281
291,4,8,1780,1170,1975-01-01,1970-01-01,98034,47.7128
292,3,9,2160,0,1992-01-01,1970-01-01,98001,47.3341
293,3,8,2270,1010,1986-01-01,1970-01-01,98056,47.5399
294,5,8,1270,700,1929-01-01,1970-01-01,98126,47.5717
295,3,10,3360,0,1994-01-01,1970-01-01,98075,47.5951
296,3,7,1320,0,1993-01-01,1970-01-01,98042,47.3536
297,3,8,2650,0,1990-01-01,1970-01-01,98059,47.5084
298,3,7,1330,700,1963-01-01,1970-01-01,98108,47.5586
299,3,7,1090,500,1957-01-01,1970-01-01,98188,47.4427
300,3,10,2600,1950,2002-01-01,1970-01-01,98074,47.6053
301,3,8,2440,0,1998-01-01,1970-01-01,98003,47.3494
302,4,7,970,970,1948-01-01,1970-01-01,98117,47.6933
303,3,8,2040,0,2006-01-01,1970-01-01,98038,47.3537
304,4,7,1120,1080,1964-01-01,1970-01-01,98166,47.476
305,4,8,960,960,1913-01-01,1970-01-01,98112,47.6239
306,4,8,1400,400,1965-01-01,1970-01-01,98177,47.7776
307,3,8,2180,0,1984-01-01,1970-01-01,98074,47.6459
308,4,6,1010,0,1908-01-01,1970-01-01,98105,47.6692
309,5,8,2220,1100,1960-01-01,1970-01-01,98056,47.5376
310,5,8,1980,390,1928-01-01,1970-01-01,98144,47.601
311,3,6,1660,0,1915-01-01,1970-01-01,98065,47.529
312,5,10,3370,280,1921-01-01,1970-01-01,98119,47.6345
313,3,11,2690,1600,1997-01-01,1970-01-01,98006,47.5503
314,3,11,2690,1600,1997-01-01,1970-01-01,98006,47.5503
315,3,8,1350,600,1979-01-01,1970-01-01,98058,47.4441
316,5,8,1720,870,1948-01-01,1970-01-01,98133,47.7357
317,4,8,1930,0,1988-01-01,1970-01-01,98042,47.346
318,4,7,1170,300,1916-01-01,1970-01-01,98103,47.6638
319,3,6,800,0,1943-01-01,1970-01-01,98166,47.48
320,3,9,3150,0,2013-01-01,1970-01-01,98052,47.6759
321,3,8,2030,0,1984-01-01,1970-01-01,98027,47.5162
322,3,7,1450,0,2003-01-01,1970-01-01,98001,47.2639
323,3,7,1510,0,1969-01-01,1970-01-01,98023,47.2929
324,3,6,960,280,1922-01-01,1984-01-01,98146,47.4957
325,3,6,960,280,1922-01-01,1984-01-01,98146,47.4957
326,3,9,3030,0,1987-01-01,1970-01-01,98077,47.7721
327,4,9,2050,0,1922-01-01,1970-01-01,98102,47.644
328,2,7,1000,0,1952-01-01,1970-01-01,98166,47.472
329,4,9,1590,780,1977-01-01,1970-01-01,98005,47.592
330,3,9,1890,910,1951-01-01,2002-01-01,98105,47.669
331,4,7,2240,0,1955-01-01,1970-01-01,98198,47.42
332,3,8,1810,0,1991-01-01,1970-01-01,98022,47.1913
333,3,7,1070,0,1924-01-01,1970-01-01,98103,47.6666
334,5,9,2490,0,1968-01-01,1970-01-01,98040,47.5639
335,3,7,1960,0,2003-01-01,1970-01-01,98038,47.3483
336,3,9,1860,1070,2004-01-01,1970-01-01,98072,47.7648
337,5,7,1510,0,1911-01-01,1970-01-01,98103,47.6794
338,3,7,1420,0,1954-01-01,1970-01-01,98133,47.7535
339,3,7,1740,0,1954-01-01,1970-01-01,98178,47.4945
340,4,7,2560,0,1962-01-01,1970-01-01,98052,47.6945
341,3,9,2420,620,2010-01-01,1970-01-01,98059,47.5222
342,3,8,1300,1200,1957-01-01,1970-01-01,98125,47.7222
343,4,6,1275,0,1991-01-01,1970-01-01,98070,47.3796
344,3,8,2580,0,2002-01-01,1970-01-01,98065,47.5374
345,3,6,1000,0,1943-01-01,1970-01-01,98178,47.4897
346,3,6,1000,0,1943-01-01,1970-01-01,98178,47.4897
347,4,6,1070,0,1930-01-01,1970-01-01,98059,47.4716
348,4,7,1390,0,1987-01-01,1970-01-01,98030,47.3581
349,3,7,1250,1250,1973-01-01,1970-01-01,98155,47.7713
350,3,4,560,0,1967-01-01,1970-01-01,98014,47.675
351,3,9,2270,0,1965-01-01,1970-01-01,98040,47.5603
352,4,7,1300,600,1954-01-01,1970-01-01,98166,47.4147
353,5,7,790,200,1907-01-01,1970-01-01,98103,47.68
354,4,7,1050,500,1969-01-01,1970-01-01,98001,47.3117
355,5,7,1100,1100,1955-01-01,1970-01-01,98118,47.543
356,3,7,1910,0,2005-01-01,1970-01-01,98038,47.3607
357,4,7,1750,0,1954-01-01,1970-01-01,98006,47.5759
358,3,7,1330,0,1928-01-01,1954-01-01,98033,47.6891
359,3,9,1980,460,2000-01-01,1970-01-01,98116,47.565
360,3,7,1640,0,1992-01-01,1970-01-01,98053,47.6359
361,4,9,2760,0,1978-01-01,1970-01-01,98059,47.4769
362,3,7,1820,0,1994-01-01,1970-01-01,98038,47.3845
363,3,8,1340,770,2013-01-01,1970-01-01,98033,47.6743
364,4,8,1640,1400,1966-01-01,1970-01-01,98006,47.5651
365,3,7,1840,0,1994-01-01,1970-01-01,98045,47.4853
366,3,9,2990,0,2002-01-01,1970-01-01,98166,47.4508
367,3,10,3520,0,1991-01-01,1970-01-01,98074,47.6375
368,4,8,1910,530,1989-01-01,1970-01-01,98075,47.5944
369,3,7,1370,720,1986-01-01,1970-01-01,98056,47.4888
370,3,7,1430,0,1993-01-01,1970-01-01,98056,47.5112
371,5,7,1100,1080,1954-01-01,1970-01-01,98133,47.7711
372,5,7,1100,1080,1954-01-01,1970-01-01,98133,47.7711
373,3,9,3450,0,2004-01-01,1970-01-01,98023,47.2813
374,3,7,1450,0,1994-01-01,1970-01-01,98056,47.5038
375,3,10,3230,0,2004-01-01,1970-01-01,98075,47.5823
376,3,7,1110,530,1940-01-01,1970-01-01,98125,47.7164
377,3,7,1060,530,1997-01-01,1970-01-01,98038,47.3624
378,3,7,2020,0,1960-01-01,1970-01-01,98115,47.6831
379,3,7,1300,0,1904-01-01,2014-01-01,98144,47.592
380,1,6,1380,0,1954-01-01,1970-01-01,98011,47.7461
381,3,10,3030,1010,1986-01-01,1970-01-01,98077,47.7268
382,3,7,2130,0,2001-01-01,1970-01-01,98019,47.7237
383,3,8,1580,970,1968-01-01,1970-01-01,98052,47.6283
384,3,11,3480,1320,1998-01-01,1970-01-01,98006,47.5543
385,4,8,2510,0,1969-01-01,1970-01-01,98040,47.5483
386,4,7,1410,0,1983-01-01,1970-01-01,98072,47.7591
387,3,7,1160,490,1979-01-01,1970-01-01,98058,47.4612
388,3,8,2120,0,1993-01-01,1970-01-01,98146,47.4987
389,3,7,1380,660,1954-01-01,1970-01-01,98177,47.772
390,3,7,1550,0,1957-01-01,1970-01-01,98106,47.5287
391,4,9,1980,0,1979-01-01,1970-01-01,98008,47.6109
392,3,8,1600,0,2005-01-01,1970-01-01,98019,47.7736
393,3,8,3300,0,1953-01-01,1970-01-01,98004,47.6294
394,4,10,3840,0,1983-01-01,1970-01-01,98040,47.5634
395,5,7,1220,0,1950-01-01,1970-01-01,98028,47.7405
396,4,7,1500,1220,1958-01-01,1970-01-01,98008,47.5976
397,1,8,1940,0,1962-01-01,1970-01-01,98006,47.5722
398,3,7,1260,900,1909-01-01,2011-01-01,98118,47.5644
399,4,7,1530,0,1968-01-01,1970-01-01,98058,47.4556
400,3,8,1290,420,2008-01-01,1970-01-01,98122,47.6055
401,4,7,2150,1580,1974-01-01,1970-01-01,98022,47.1775
402,4,7,940,0,1937-01-01,1970-01-01,98117,47.6879
403,3,8,1750,0,1994-01-01,1970-01-01,98045,47.4807
404,3,7,1820,0,1994-01-01,1970-01-01,98038,47.3845
405,3,9,1330,180,2001-01-01,1970-01-01,98116,47.5815
406,3,8,1290,0,2001-01-01,1970-01-01,98103,47.6609
407,3,7,1570,0,1998-01-01,1970-01-01,98092,47.3163
408,3,8,1930,0,1995-01-01,1970-01-01,98055,47.4309
409,4,10,2840,0,1986-01-01,1970-01-01,98038,47.401
410,3,7,1550,0,1991-01-01,1970-01-01,98031,47.404
411,3,5,833,0,2006-01-01,1970-01-01,98070,47.3889
412,4,8,2990,0,1978-01-01,1970-01-01,98077,47.7718
413,3,9,2000,0,1995-01-01,1970-01-01,98034,47.7067
414,3,7,2390,0,1920-01-01,1970-01-01,98178,47.504
415,4,7,1530,1380,1967-01-01,1970-01-01,98052,47.7015
416,3,7,1610,475,1964-01-01,1970-01-01,98024,47.5753
417,5,7,1290,910,1962-01-01,1970-01-01,98133,47.7448
418,3,8,1860,0,2012-01-01,1970-01-01,98019,47.7318
419,3,12,6070,0,1999-01-01,1970-01-01,98024,47.5954
420,3,7,950,0,1941-01-01,1970-01-01,98103,47.6885
421,5,7,1600,0,1955-01-01,1970-01-01,98006,47.5724
422,3,8,2250,0,1988-01-01,1970-01-01,98056,47.5272
